epoch:=0 ,train_acc:=0.000000 ,test_acc:=0.000000 ModelSave!
epoch:=1 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=2 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=3 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=4 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=5 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=6 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=7 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=8 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=9 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=10 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=11 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=12 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=13 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=14 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=15 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=16 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=17 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=18 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=19 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=20 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=21 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=22 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=23 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=24 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=25 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=26 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=27 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=28 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=29 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=30 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=31 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=32 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=33 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=34 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=35 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=36 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=37 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=38 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=39 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=40 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=41 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=42 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=43 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=44 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=45 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=46 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=47 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=48 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=49 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=50 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=51 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=52 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=53 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=54 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=55 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=56 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=57 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=58 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=59 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=60 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=61 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=62 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=63 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=64 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=65 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=66 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=67 ,train_acc:=0.000000 ,test_acc:=0.000000
